"Ideally, we can finish this project by the end of the week.[sound:C:/Users/saull/Documents/Apps/Anki/audios/Ideally,_we_can_finish_this_project_by_the_end_of_the_week.wav]","Idealmente, podemos terminar este projeto até o final da semana."
"I'm not sure what you mean by 'adulthool', it's not a real word.[sound:C:/Users/saull/Documents/Apps/Anki/audios/Im_not_sure_what_you_mean_by_adulthool,_its_not_a_real_word.wav]","Não estou certo do que você quer dizer com 'adulthool', não é uma palavra real."
The burden of responsibility is weighing heavily on my shoulders.[sound:C:/Users/saull/Documents/Apps/Anki/audios/The_burden_of_responsibility_is_weighing_heavily_on_my_shoulders.wav],O fardo da responsabilidade está pesando muito nos meus ombros.
"After a few months, she felt burdened by the constant pressure at work.[sound:C:/Users/saull/Documents/Apps/Anki/audios/After_a_few_months,_she_felt_burdened_by_the_constant_pressure_at_work.wav]","Depois de alguns meses, ela se sentiu sobrecarregada pela pressão constante no trabalho."
The company's policy on social media use is a gray area that needs to be clarified.[sound:C:/Users/saull/Documents/Apps/Anki/audios/The_companys_policy_on_social_media_use_is_a_gray_area_that_needs_to_be_clarified.wav],A política da empresa sobre o uso de mídias sociais é uma área cinzenta que precisa ser esclarecida.
"Being on time is essential for this job, so don't be late.[sound:C:/Users/saull/Documents/Apps/Anki/audios/Being_on_time_is_essential_for_this_job,_so_dont_be_late.wav]","Ser pontual é essencial para este trabalho, então não se atrasem."
The patient will bleed internally if the wound is not treated properly.[sound:C:/Users/saull/Documents/Apps/Anki/audios/The_patient_will_bleed_internally_if_the_wound_is_not_treated_properly.wav],O paciente sangrará internamente se a ferida não for tratada adequadamente.
I wonder what the weather will be like tomorrow.[sound:C:/Users/saull/Documents/Apps/Anki/audios/I_wonder_what_the_weather_will_be_like_tomorrow.wav],Eu me pergunto como será o tempo amanhã.
He got Paid under the table for the freelance work he did last month.[sound:C:/Users/saull/Documents/Apps/Anki/audios/He_got_Paid_under_the_table_for_the_freelance_work_he_did_last_month.wav],Ele recebeu pagamento em dinheiro por baixo do pano pelo trabalho freelance que fez no mês passado.
The company hired a temporary employee to help with the workload.[sound:C:/Users/saull/Documents/Apps/Anki/audios/The_company_hired_a_temporary_employee_to_help_with_the_workload.wav],A empresa contratou um funcionário temporário para ajudar com a carga de trabalho.
"The printer is not working, we need to call the IT department.[sound:C:/Users/saull/Documents/Apps/Anki/audios/The_printer_is_not_working,_we_need_to_call_the_IT_department.wav]","A impressora não está funcionando, precisamos chamar o departamento de TI."
"The upcoming concert is going to be amazing, I've already bought my tickets.[sound:C:/Users/saull/Documents/Apps/Anki/audios/The_upcoming_concert_is_going_to_be_amazing,_Ive_already_bought_my_tickets.wav]","O concerto que vem aí vai ser incrível, eu já comprei meus ingressos."
"I do my best to help others, but sometimes it's just not enough.[sound:C:/Users/saull/Documents/Apps/Anki/audios/I_do_my_best_to_help_others,_but_sometimes_its_just_not_enough.wav]","Eu faço o meu melhor para ajudar os outros, mas às vezes é simplesmente não é o suficiente."
"Is not my thing, I prefer to focus on my own projects.[sound:C:/Users/saull/Documents/Apps/Anki/audios/Is_not_my_thing,_I_prefer_to_focus_on_my_own_projects.wav]","Não é a minha praia, eu prefiro me concentrar nos meus próprios projetos."
The lunchroom is always crowded during peak hours.[sound:C:/Users/saull/Documents/Apps/Anki/audios/The_lunchroom_is_always_crowded_during_peak_hours.wav],A sala de jantar está sempre lotada durante os horários de pico.
This kind of behavior is not acceptable in a professional environment.[sound:C:/Users/saull/Documents/Apps/Anki/audios/This_kind_of_behavior_is_not_acceptable_in_a_professional_environment.wav],Este tipo de comportamento não é aceitável em um ambiente profissional.
The course is required for all students who want to graduate.[sound:C:/Users/saull/Documents/Apps/Anki/audios/The_course_is_required_for_all_students_who_want_to_graduate.wav],O curso é obrigatório para todos os alunos que querem se formar.
She stood up for herself and refused to back down.[sound:C:/Users/saull/Documents/Apps/Anki/audios/She_stood_up_for_herself_and_refused_to_back_down.wav],Ela se levantou por si mesma e se recusou a recuar.
The company is trying to rip off their customers with these high prices.[sound:C:/Users/saull/Documents/Apps/Anki/audios/The_company_is_trying_to_rip_off_their_customers_with_these_high_prices.wav],A empresa está tentando lesar seus clientes com esses preços altos.
"The new policy is worthwhile, it will benefit everyone in the long run.[sound:C:/Users/saull/Documents/Apps/Anki/audios/The_new_policy_is_worthwhile,_it_will_benefit_everyone_in_the_long_run.wav]","A nova política é valiosa, ela beneficiará todos a longo prazo."
